place,title,link,published,source,domain
New York NY,Scholarships for Fratelli Tutti Leadership School - Episcopal News Service,https://news.google.com/rss/articles/CBMilAFBVV95cUxQSUNzNUNWWk5yUjZiYTBEMVlLbWJYQnE0cV9FcTkyWHM5RFliZkM3b3VPai1TM1BtQUhicGVNZ2x4ZzNOell4UVhpRWJzZjVCLTltdUVwTG05amF5N1VGd3J2OGhwblFTRXRNdzBBZjVpWnJFRTJzMFNHamNaN3hyQjhIYjRMeEtlM2h2UFNXamVmS1lh?oc=5,"Sun, 31 Aug 2025 22:22:57 GMT",Episcopal News Service,news.google.com
New York NY,Multiple Powerball tickets worth $150K sold in NY - PIX11,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNYWg5YlZzZ08zbVU3cktZdWhBNHctelNkRWJQeS1WODBSdXNDUkVmczlROTlteWdHTFk4MW9GWWxEMXZCSEtsc2Nab2lackdvcDV1dWVKWldwVWJkdHdTNU5VTVNMWXM0SmJqaU9CMDR4Uy1zSDR6alhzLThMMVlqTlJpTGVXYmp4S3ZF0gGQAUFVX3lxTE1Eb2VtZ05idWNTZnM1Ty1Lb3N4VFk0SGhSQUx2c2d4NTdrY3dxT1g1d2JKVW96VzRlckVmS0ZLVGRuc2dyOEdTUm5xSTJGcmNQTkFkWUlzLUd1aDJiZlZKcjhVclBKOElZZVZRcHdJVnotUFZGeUpHd3FkTUw4bmpyTFpGdVVUUnZMdFBwZ2RFag?oc=5,"Sun, 31 Aug 2025 14:08:03 GMT",PIX11,news.google.com
New York NY,Jeremy Lin retires from professional basketball after 9-year NBA career - The Athletic - The New York Times,https://news.google.com/rss/articles/CBMimwFBVV95cUxQbU1sbGQtX2s1em1iMTd6VExTYWMzUDRZRlR5RHZBUm9JSnh2NDQ2WExFUUNRczdoTUFHRmxLNk9VS2FzcWJMcGdyb1Z1QVd4UXpDMG5Zdm0xWGJ3R1FuVFpwU25kYm1pZE9vREw5Y2ZwWnRuQkVFUUk1VFdZcFBJdDRMU1JrWkEyWVBSVEFYeHlGVl9TWTFBZXFwTQ?oc=5,"Sun, 31 Aug 2025 20:06:31 GMT",The New York Times,news.google.com
New York NY,Tennis player pleads for trophy swiped during U.S. Open: ‘It has NO material value' - NBC New York,https://news.google.com/rss/articles/CBMiigFBVV95cUxQdFJOT3lTRDdfT2c5dExVaVBoT1RvM1NxQXNTM2kzNTF3Rk9PeTZ0NlIwQm41N0txdE4zTktXS0lxTlVvOUV1aGhrX1U5Tm5GSTNleEVvbFA4dTU5dmpweEVTSjlXcDZUQ280ZlN5enNjU2diSEh5aUhXZlU5emt3aHduUWE1SUlLekHSAZIBQVVfeXFMTzQtTUxhaDRkbTFyWFk5dDM0U2ZsVy1rMk1mcjlIMXNpOXJ5VU10WjVXYTNFZUJwZWZQQmhURVRuRjFkTGlPclNrZ05rM2dZLUZLYTNVUE1lNlhhaU12WnhXZVBvdWljS256R2prWF9KVmxuUWdqNjFRUnlMaE9ucmdvZ2NrYzdVRXBYSE1YQ2x2ZWc?oc=5,"Sun, 31 Aug 2025 19:39:01 GMT",NBC New York,news.google.com
New York NY,Curren$y Shrugs Off Freddie Gibbs Diss On New Album's Opener - HotNewHipHop,https://news.google.com/rss/articles/CBMimAFBVV95cUxObG1MVTBLOC0yMEllbkRjTEpZUVMzSmRhQ1pmY0NBbnBEelVlTk9JVV9EN19HWlFlWWlyRjB3S1VmWFZkZG9wWEg2Wk1sdmlEN1JHX2hyaEs4QjdSZ2hxOWU4QWV0WUh2M3Z0NG1XMG5MRHVaYUxCYnZWM2c3c3Zublg5cFNXSjR6ZmVSTTR6N0VFem16VVluaQ?oc=5,"Sun, 31 Aug 2025 19:02:02 GMT",HotNewHipHop,news.google.com
New York NY,"LEONARD TOW Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMiigFBVV95cUxQclRaRmF6SHNIUHVXazVCWm5ZMDhjcF9kUjlrRC1fakdDZV9WMkFoUFREV2hpUndtZDdSVjVOeFhqR1ZqRmdmSEo0T2NINGZhN2huT0NvMjZhNFl1WkI3SUxWQkFYMmh0amZKNURnemQ1b2ZnaHluZ1FqSzJYQlVjZ2JSOTNJeVhIY2c?oc=5,"Sun, 31 Aug 2025 11:01:41 GMT",Legacy.com,news.google.com
New York NY,Krejcikova vs. Townsend | Round of 16 US Open 2025 - WTA Tennis,https://news.google.com/rss/articles/CBMifEFVX3lxTE1pbmx3SkRrU2tGb3l0TjJGQWoxLWZEVXBWNHZidm5idURMYkFtYWpROE1uRTBlb29vVDQzZWpNWGNYTHM3S3Z0RWp4LXdJenZIMUQ2Q3lxLWprZFVlMm00ejZqanltOGZ4X2M0b0dJYjhSbEZYenNJU0d4UWI?oc=5,"Sun, 31 Aug 2025 22:38:52 GMT",WTA Tennis,news.google.com
New York NY,Former Colorado Star Joins Elite Company In New Viral Heisman Trophy Commercial - Sports Illustrated,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPMDNPMFhzdm1VZXNBWjZIbDVYZ18zcWNKd3h2VThjVnpYY3RiZVAzMnFVOFE0UHk0UFBPSFNxeEpJbldtWXBRSnB4NnQydmZzN2dhVzQyR2ZmMFFoMGhReHJfdEpoWmFBeDg4eEJMUldIbU5FcG5zWU80bWc4NVVKNnNoOUFsMFZNdmNEU05tREpDZ1VtRlNqV2tPYjFISUFrVk9UWjZIbmRHQUhtc3BGS004cWUyMkRjZ1ZENE5WM0ktNDg3VDZ5cGlfdV9QZHZkbnFHa2x6SVM3dXY4YkplZEV3S0RrYW1UQmdN?oc=5,"Sun, 31 Aug 2025 12:56:30 GMT",Sports Illustrated,news.google.com
New York NY,"BARBARA SCHOFIELD Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMikgFBVV95cUxNSlNBWDVqdVpqemNDSTBVV3RhLUNPdjBxdGNwMDBkRWxyb0tIMjMyU0pKdk9KT0pqYVk3R29tWUx4Sm1ubW1jak9NSzZzNG40ekJSV19uaGxQVkJIRnc0emxueEVPcVozdmw4elNKS3hteXZ3SnpLVFM2dGdJdGNrVkZOSlQtNXV4X25vei1Ja3pJQQ?oc=5,"Sun, 31 Aug 2025 11:05:46 GMT",Legacy.com,news.google.com
New York NY,"JULI TOWELL Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMiigFBVV95cUxPeW5VdUUzQTVzNElRZ3A1ZDFpMjRpV0ZOek5JUXRpR2Exd011STlUdVg1S01PMExnQWZILTZVclZILVRYZE5iblpfX1l3NnNSbnhnRTVKdTd0eEZuZ1pPT1FLaURka1NreE9KbS1SWmNWSWhLcU1TbGFkYndmZkVqbVJBcWs4Qjh0enc?oc=5,"Sun, 31 Aug 2025 10:30:43 GMT",Legacy.com,news.google.com
